level,surface,x_c,dstar_ibl,dstar_xfoil,dstar_ratio,cf_ibl,cf_xfoil,asym_ibl,asym_xfoil
coarse,upper,0.05,2.005549268e-04,2.185903084e-04,9.174923090e-01,2.544101907e-03,2.781980176e-03,1.083658179e+00,1.350828955e+00
coarse,upper,0.10,3.607863471e-04,3.210588235e-04,1.123739080e+00,4.392825875e-03,6.882235294e-03,9.372002290e-01,1.259344716e+00
coarse,upper,0.15,5.288889001e-04,5.082547847e-04,1.040597976e+00,4.067723258e-03,5.861497608e-03,9.532257149e-01,1.269934396e+00
coarse,upper,0.20,6.667859895e-04,6.868660613e-04,9.707656661e-01,3.867627589e-03,5.282440409e-03,9.603396226e-01,1.270028061e+00
coarse,upper,0.30,9.950304736e-04,1.047010905e-03,9.503534956e-01,3.461352523e-03,4.496525627e-03,1.026628718e+00,1.272643524e+00
coarse,upper,0.40,1.276820954e-03,1.421580300e-03,8.981701242e-01,3.179648770e-03,3.940524625e-03,1.030651764e+00,1.275319945e+00
coarse,upper,0.50,1.544459348e-03,1.817883475e-03,8.495920498e-01,3.007865197e-03,3.507297669e-03,1.026276322e+00,1.280873281e+00
coarse,upper,0.60,1.808955961e-03,2.243991579e-03,8.061331327e-01,2.884977102e-03,3.145387368e-03,1.021952607e+00,1.290484893e+00
coarse,upper,0.70,2.081734436e-03,2.720670873e-03,7.651548214e-01,2.787567016e-03,2.813890641e-03,1.021515317e+00,1.306212765e+00
coarse,upper,0.80,2.377221846e-03,3.310416404e-03,7.181035725e-01,2.688425454e-03,2.460870662e-03,1.025076116e+00,1.332861697e+00
coarse,upper,0.90,2.787116997e-03,4.244816826e-03,6.565929959e-01,2.561179795e-03,1.980966986e-03,1.035056820e+00,1.386915085e+00
coarse,upper,1.00,3.735642548e-03,7.131000000e-03,5.238595636e-01,1.947288560e-03,1.034000000e-03,1.115050864e+00,1.493403141e+00
coarse,lower,0.05,1.850721294e-04,1.618193833e-04,1.143695679e+00,3.331576481e-03,3.109801762e-03,1.083658179e+00,1.350828955e+00
coarse,lower,0.10,3.849618640e-04,2.549411765e-04,1.510002697e+00,4.457754158e-03,5.333588235e-03,9.372002290e-01,1.259344716e+00
coarse,lower,0.15,5.548412006e-04,4.002212919e-04,1.386336039e+00,3.996720126e-03,4.895886364e-03,9.532257149e-01,1.269934396e+00
coarse,lower,0.20,6.943231059e-04,5.408274688e-04,1.283816274e+00,3.792016076e-03,4.601364359e-03,9.603396226e-01,1.270028061e+00
coarse,lower,0.30,9.692213515e-04,8.227055616e-04,1.178090190e+00,3.530026001e-03,4.131441658e-03,1.026628718e+00,1.272643524e+00
coarse,lower,0.40,1.238848075e-03,1.114685225e-03,1.111388262e+00,3.318138957e-03,3.757139186e-03,1.030651764e+00,1.275319945e+00
coarse,lower,0.50,1.504915698e-03,1.419253178e-03,1.060357462e+00,3.157139920e-03,3.447109110e-03,1.026276322e+00,1.280873281e+00
coarse,lower,0.60,1.770097703e-03,1.738874737e-03,1.017955845e+00,3.025625362e-03,3.179552632e-03,1.021952607e+00,1.290484893e+00
coarse,lower,0.70,2.037888617e-03,2.082869611e-03,9.784043160e-01,2.916795540e-03,2.931917981e-03,1.021515317e+00,1.306212765e+00
coarse,lower,0.80,2.319068613e-03,2.483690852e-03,9.337187078e-01,2.814688598e-03,2.665712934e-03,1.025076116e+00,1.332861697e+00
coarse,lower,0.90,2.692718838e-03,3.060617678e-03,8.797958847e-01,2.685741473e-03,2.292634718e-03,1.035056820e+00,1.386915085e+00
coarse,lower,1.00,3.350199233e-03,4.775000000e-03,7.016124049e-01,2.311039046e-03,1.409000000e-03,1.115050864e+00,1.493403141e+00
coarse,cl,-,2.752981029e-01,2.691000000e-01,1.023032712e+00,-,2.921000000e-01,-,-
medium,upper,0.05,2.194695391e-04,2.185903084e-04,1.004022277e+00,2.625030542e-03,2.781980176e-03,8.873790163e-01,1.350828955e+00
medium,upper,0.10,4.087793548e-04,3.210588235e-04,1.273222615e+00,4.236337517e-03,6.882235294e-03,9.209684656e-01,1.259344716e+00
medium,upper,0.15,5.571851483e-04,5.082547847e-04,1.096271329e+00,3.960916083e-03,5.861497608e-03,9.382754390e-01,1.269934396e+00
medium,upper,0.20,7.053870986e-04,6.868660613e-04,1.026964554e+00,3.769920583e-03,5.282440409e-03,9.558602642e-01,1.270028061e+00
medium,upper,0.30,9.669715287e-04,1.047010905e-03,9.235544004e-01,3.491947525e-03,4.496525627e-03,9.597905734e-01,1.272643524e+00
medium,upper,0.40,1.221642363e-03,1.421580300e-03,8.593551581e-01,3.296831939e-03,3.940524625e-03,9.678839730e-01,1.275319945e+00
medium,upper,0.50,1.475032988e-03,1.817883475e-03,8.114012857e-01,3.152926399e-03,3.507297669e-03,9.755540958e-01,1.280873281e+00
medium,upper,0.60,1.728295250e-03,2.243991579e-03,7.701879395e-01,3.041189916e-03,3.145387368e-03,9.819428102e-01,1.290484893e+00
medium,upper,0.70,1.984119876e-03,2.720670873e-03,7.292759649e-01,2.948409709e-03,2.813890641e-03,9.876514762e-01,1.306212765e+00
